movie,year,genre,length,gross,audience,critic,votes
Gladiator,2000,Action,155,187.71,8.5,67,1096457
Memento,2000,Mystery,113,25.54,8.5,80,942923
Snatch - Tu braques ou tu raques,2000,Comedy,104,30.33,8.3,55,663244
Requiem for a Dream,2000,Drama,102,3.64,8.3,68,640047
X-Men,2000,Action,104,157.3,7.4,64,498388
Seul au monde,2000,Adventure,143,233.63,7.8,73,435798
American Psycho,2000,Crime,102,15.07,7.6,64,396271
Incassable,2000,Drama,106,95.01,7.2,62,284747
Mon beau-père et moi,2000,Comedy,108,166.24,7,73,277723
M-I:2 Mission: Impossible 2,2000,Action,123,215.41,6.1,59,263188
O' Brother,2000,Adventure,107,45.51,7.8,69,244858
60 secondes chrono,2000,Action,118,101.65,6.5,35,232856
Tigre et dragon,2000,Action,120,128.08,7.9,93,229667
The patriot: Le chemin de la liberté,2000,Action,165,113.33,7.2,63,223789
Presque célèbre,2000,Adventure,122,32.53,7.9,90,222109
Pitch Black,2000,Horror,109,39.24,7.1,49,204849
Scary Movie,2000,Comedy,88,157.02,6.2,48,201618
Fou(s) d'Irène,2000,Comedy,116,90.57,6.6,49,198511
Destination finale,2000,Horror,98,53.33,6.7,36,196668
La plage,2000,Adventure,119,39.79,6.6,43,193719
Amours chiennes,2000,Drama,154,5.38,8.1,83,190248
Traffic,2000,Crime,147,124.12,7.6,86,178704
Le plus beau des combats,2000,Biography,113,115.65,7.8,48,173461
Ce que veulent les femmes,2000,Comedy,127,182.81,6.4,47,170777
Le Grinch,2000,Comedy,104,260.04,6.1,46,160752
Le chocolat,2000,Drama,121,71.51,7.3,64,160163
Charlie et ses drôles de dames,2000,Action,98,125.31,5.5,52,154200
Miss Détective,2000,Action,109,106.81,6.2,43,153076
Chicken Run,2000,Animation,84,106.83,7,88,152501
High Fidelity,2000,Comedy,113,27.28,7.5,79,151511
Battle Royale,2000,Adventure,114,0,7.7,81,149417
"Erin Brockovich, seule contre tous",2000,Biography,131,125.6,7.3,73,147183
"Kuzco, l'empereur mégalo",2000,Animation,78,89.3,7.3,70,144082
Road Trip,2000,Adventure,93,68.54,6.5,55,141540
En pleine tempête,2000,Action,130,182.62,6.4,59,140401
Eh mec! Elle est où ma caisse?,2000,Comedy,83,46.73,5.5,30,122859
Hollow man - L'homme sans ombre,2000,Action,112,73.21,5.7,24,108636
Scream 3,2000,Horror,116,89.14,5.5,56,106473
Billy Elliot,2000,Drama,110,22,7.7,74,105584
À l'aube du 6ème jour,2000,Action,123,34.6,5.9,49,105553
Shanghai Kid,2000,Action,110,56.94,6.6,77,104646
Apparences,2000,Drama,130,155.46,6.6,51,104371
Un monde meilleur,2000,Drama,123,33.52,7.2,40,102441
Mon voisin le tueur,2000,Comedy,98,57.26,6.7,47,96551
Coyote Girls,2000,Comedy,100,60.79,5.6,27,96031
Les chemins de la dignité,2000,Biography,129,48.82,7.2,56,95803
Family Man,2000,Comedy,125,75.79,6.7,42,91661
In the Mood for Love,2000,Drama,98,2.73,8.1,85,89093
Fréquence interdite,2000,Crime,118,45.01,7.4,67,88713
Endiablé,2000,Comedy,93,37.88,6,49,86808
Dancer in the Dark,2000,Crime,140,4.18,8,61,86370
Little Nicky,2000,Comedy,90,39.46,5.3,38,86221
The Cell,2000,Horror,107,61.33,6.3,40,85026
À la rencontre de Forrester,2000,Drama,136,51.8,7.3,62,76105
American Girls,2000,Comedy,98,68.38,6,52,75314
Malena,2000,Comedy,109,3.43,7.5,54,72739
Big Mamma,2000,Action,99,117.56,5.1,33,71806
U-571,2000,Action,116,77.09,6.6,62,69179
Battlefield Earth - Terre champ de bataille,2000,Action,118,21.47,2.4,9,68632
La route d'Eldorado,2000,Animation,89,50.86,6.9,51,67115
Space Cowboys,2000,Action,130,90.46,6.4,73,64294
Mission to Mars,2000,Adventure,114,60.88,5.6,34,64027
Shaft,2000,Action,99,70.33,5.9,50,62047
Roméo doit mourir,2000,Action,115,55.97,6.1,52,60256
Wonder Boys,2000,Comedy,107,19.39,7.4,73,56843
Intuitions,2000,Drama,112,12.01,6.7,62,55704
Titan A.E.,2000,Animation,94,22.75,6.6,48,54391
Vertical Limit,2000,Action,124,69.24,5.9,48,52577
Les rivières pourpres,2000,Crime,106,0.63,6.9,49,51765
Les remplaçants,2000,Comedy,118,44.74,6.5,30,51455
L'échange,2000,Action,135,32.6,6.2,45,51252
Planète rouge,2000,Action,106,17.48,5.7,34,50290
Bêtes de scène,2000,Comedy,90,18.62,7.5,78,48808
La légende de Bagger Vance,2000,Drama,126,30.7,6.7,47,48360
Treize jours,2000,Drama,145,34.59,7.3,67,48119
"Quills, la plume et le sang",2000,Biography,124,7.06,7.3,70,47063
Sexy Beast,2000,Crime,89,6.95,7.3,79,46760
Au nom d'Anna,2000,Comedy,128,37.05,6.4,60,46478
Les initiés,2000,Crime,120,16.94,7,63,44197
Dinosaure,2000,Animation,82,137.75,6.5,56,42865
La famille Foldingue,2000,Comedy,106,123.31,4.3,38,42288
Les neuf reines,2000,Crime,114,1.22,7.9,80,42242
L'enfer du devoir,2000,Drama,128,61.34,6.4,45,39718
28 jours en sursis,2000,Comedy,103,37.17,6,46,37419
Sale môme,2000,Comedy,104,69.69,6.1,45,36345
L'ombre du vampire,2000,Drama,92,8.28,6.9,71,35925
Ginger Snaps,2000,Drama,108,0,6.8,70,35800
Tigerland,2000,Drama,101,0.14,7,55,34864
Piège fatal,2000,Action,104,23.36,5.7,37,33412
Escrocs mais pas trop,2000,Comedy,94,17.07,6.7,69,33148
Chopper,2000,Biography,94,0.23,7.2,65,33120
Blair Witch 2: Le Livre des ombres,2000,Adventure,90,26.44,4,15,31873
Nurse Betty,2000,Comedy,110,25.17,6.2,69,30964
Next Friday,2000,Comedy,98,57.33,6.1,41,30633
Get Carter,2000,Action,102,14.97,5.1,24,29084
102 dalmatiens,2000,Adventure,100,66.96,4.9,35,28936
Dracula 2001,2000,Action,99,33.02,4.9,26,28919
Donjons & dragons,2000,Action,107,15.22,3.7,14,28848
Où le coeur nous mène,2000,Comedy,120,33.77,6.8,30,28730
Way of the Gun,2000,Action,119,6.06,6.7,49,28632
The skulls: société secrète,2000,Action,106,35.01,5.6,24,28323
L'art de la guerre,2000,Action,117,30.21,5.7,30,26355
Vampire Hunter D: Bloodlust,2000,Animation,103,0.03,7.7,62,24827
Tu peux compter sur moi,2000,Drama,111,9.18,7.7,85,24617
Pollock,2000,Biography,122,8.6,7,77,24394
Loser,2000,Comedy,98,15.62,5.3,35,24136
The Watcher,2000,Crime,97,28.93,5.3,22,23280
Avant la nuit,2000,Biography,133,4.22,7.3,85,21905
Un automne à New York,2000,Drama,103,37.75,5.5,24,21761
Manipulations,2000,Drama,126,17.87,7,59,21293
JSA - Joint Security Area,2000,Action,110,0,7.9,58,21140
"Aniki, mon frère",2000,Crime,114,0.45,7.2,47,19737
Suspicion,2000,Crime,110,0.26,6.5,43,19460
The Million Dollar Hotel,2000,Drama,122,0.05,5.9,25,19244
Séquences et conséquences,2000,Comedy,105,6.92,6.8,75,18958
Together,2000,Comedy,106,1.07,7.5,84,18594
Un amour infini,2000,Drama,106,36.78,5.7,52,18451
Julie en juillet,2000,Adventure,99,0,7.8,71,18062
Mon chien Skip,2000,Comedy,95,34.1,7,61,17544
Les aventures de Rocky & Bullwinkle,2000,Animation,92,26,4.2,36,17535
Highlander: Endgame,2000,Action,87,12.8,4.6,21,17367
The Yards,2000,Crime,115,0.88,6.4,58,17335
Droit au coeur,2000,Comedy,115,32.66,6.9,54,17319
Les Pierrafeu à Rock Vegas,2000,Comedy,90,35.27,3.6,27,17068
Danse ta vie,2000,Drama,115,17.17,6.7,52,16685
Docteur T & les femmes,2000,Comedy,122,13.11,4.6,64,16260
Blinkende lygter,2000,Action,109,0,7.7,47,16237
Saving Grace,2000,Comedy,93,12.12,6.9,62,16111
Love & Basketball,2000,Drama,124,27.44,7.2,70,15604
Supernova,2000,Horror,90,14.22,4.8,19,15461
Baise-moi,2000,Crime,77,0.01,4.5,35,15343
Yi yi,2000,Drama,173,1.14,8.1,93,14917
Boys and Girls,2000,Comedy,94,20.63,5.4,29,14503
Les aventures de Tigrou et de Winnie l'ourson,2000,Animation,77,45.55,6.3,53,14402
Chansons du deuxième étage,2000,Comedy,98,0,7.7,76,14249
Urban Legend 2: Coup de grâce,2000,Horror,97,21.47,4.2,16,13926
The Dish,2000,Comedy,101,2.25,7.2,74,13539
La princesse et le guerrier,2000,Drama,135,0.87,7.6,64,13412
The man who cried - Les larmes d'un homme,2000,Drama,100,0.74,6.2,40,13147
Fausses rumeurs,2000,Drama,90,5.11,5.9,31,13109
In Love,2000,Comedy,91,20.04,4.9,13,12955
L'élue,2000,Crime,107,29.37,5.1,17,12758
Ready to Rumble,2000,Comedy,107,12.37,5.3,23,12344
Mais qui a tué Mona?,2000,Crime,96,15.43,5.6,25,12220
Cecil B. Demented,2000,Comedy,87,1.28,6.2,57,12007
De si jolis chevaux,2000,Drama,116,15.53,5.8,55,11948
Italian for Beginners,2000,Comedy,112,4.45,7.1,77,11856
Gangster Number One,2000,Crime,103,0.03,6.8,60,11598
Ladies Man,2000,Comedy,84,13.59,5.1,22,11286
Animal Factory,2000,Crime,94,0.04,6.6,65,11282
L'île,2000,Drama,90,0.02,7.1,61,10971
Blood: The Last Vampire,2000,Animation,48,0,6.7,44,10765
Raccroche!,2000,Comedy,94,36.05,4.8,33,10701
Anatomie,2000,Horror,96,0.01,6.1,33,10640
Jour blanc,2000,Adventure,89,60.02,5,34,10071
Les Harmonies Werckmeister,2000,Drama,145,0.03,8.3,92,9987
Les âmes perdues,2000,Drama,97,16.78,4.8,16,9774
Un couple presque parfait,2000,Comedy,108,14.99,4.7,25,9769
Piégé,2000,Action,119,15.33,5.8,39,9572
Code inconnu: Récit incomplet de divers voyages,2000,Drama,118,0.1,7.2,74,9490
The Very Black Show,2000,Comedy,135,2.19,6.5,50,9099
"Les Razmoket à Paris, le film",2000,Animation,78,76.51,6.1,62,9097
"Woman on top - Amour, piments et bossa nova",2000,Comedy,92,5.02,5.3,41,9097
Le bon numéro,2000,Comedy,105,10.01,5,31,9004
"Harry, un ami qui vous veut du bien",2000,Comedy,117,3.82,7.2,75,8846
Happy Accidents,2000,Comedy,110,0.69,7.3,60,8754
101 Reykjavik,2000,Comedy,88,0.01,6.9,68,8660
Girlfight,2000,Drama,110,1.52,6.8,70,8569
Duos d'un jour,2000,Comedy,112,4.73,6,40,8543
Dangereuse séduction,2000,Comedy,94,8.74,5.5,20,8490
Hamlet,2000,Drama,112,1.57,6,70,8393
De quelle planète viens-tu?,2000,Comedy,105,6.29,5.6,41,8376
"Pain, tulipes et comédie",2000,Comedy,114,5.31,7.4,68,8259
Left Behind,2000,Action,96,4.22,4.6,22,8157
Le goût des autres,2000,Comedy,112,0.64,7.3,78,8144
Le poids de l'eau,2000,Crime,113,0.1,5.9,45,8060
Le petit vampire,2000,Adventure,95,13.56,5.8,45,8009
Un été sur terre,2000,Drama,96,10.49,5.1,25,7693
Panic,2000,Comedy,88,0.78,6.8,77,7456
Screwed,2000,Comedy,81,7.03,5.7,7,7342
Sous le sable,2000,Drama,92,1.45,7.2,86,7179
Le tao de Steve,2000,Comedy,87,4.34,6.7,70,6971
George Washington,2000,Drama,89,0.24,7.4,82,6766
Vatel,2000,Biography,103,0.05,6.6,44,6665
Chez les heureux du monde,2000,Romance,135,3.04,7.1,78,6641
Le club des coeurs brisés,2000,Comedy,94,1.74,7,51,6380
Uzumaki,2000,Drama,90,0,6.2,62,6249
Mafia parano,2000,Comedy,101,1.63,5.7,42,6238
Le fantôme de Sarah Williams,2000,Drama,105,0.33,6.7,59,6208
Time Code,2000,Drama,97,0.95,6.2,65,6077
About Adam,2000,Comedy,97,0.15,5.9,64,5956
Un temps pour l'ivresse des chevaux,2000,Drama,80,0.7,7.7,78,5890
Dark Days,2000,Documentary,82,0.43,7.8,75,5803
Digimon - Le film,2000,Animation,82,9.63,6,20,5701
Harrison's Flowers,2000,Drama,130,1.84,7.2,49,5628
Krámpack,2000,Comedy,91,0.35,6.9,59,5563
Rédemption,2000,Drama,120,0.67,6.5,62,5505
Vies brûlées,2000,Crime,125,0.24,7.2,68,5479
Les démons à ma porte,2000,Comedy,139,0.02,8.3,70,5468
Séduction en mode mineur,2000,Comedy,78,2.88,6.2,71,5325
Gouttes d'eau sur pierres brûlantes,2000,Comedy,82,0.09,6.9,73,5215
Maybe Baby ou Comment les Anglais se reproduisent,2000,Comedy,104,0.01,5.7,46,5169
Otesánek,2000,Animation,132,0.12,7.4,74,5160
L'obscénité et la fureur - La véritable histoire des Sex Pistols,2000,Documentary,108,0.61,7.7,82,5119
El bola,2000,Drama,88,0,7.3,70,4999
La veuve de Saint-Pierre,2000,Drama,112,3.06,7.3,73,4959
Le cercle,2000,Drama,90,0.67,7.5,85,4942
Psycho Beach Party,2000,Comedy,95,0.27,6.3,42,4869
The Original Kings of Comedy,2000,Comedy,115,38.18,6.7,76,4863
Chuck & Buck,2000,Comedy,96,1.05,6.6,76,4821
Jardinage à l'anglaise,2000,Comedy,91,1.44,6.9,46,4818
Love & Sex,2000,Comedy,82,0.55,6.3,44,4797
Bread and Roses,2000,Drama,110,0.53,7.1,57,4793
En toute complicité,2000,Drama,89,5.66,6.3,49,4759
"Ed Gein, le boucher",2000,Biography,89,0.01,5.6,42,4607
"Gangsters, sex & karaoké",2000,Comedy,103,0,6.5,23,4582
Dinner Rush,2000,Crime,99,0.11,7.3,79,4508
Citizen Toxie: The Toxic Avenger IV,2000,Action,109,0,6.3,41,4431
Musíme si pomáhat,2000,Comedy,120,1.32,7.8,69,4411
Presque rien,2000,Drama,98,0.01,6.7,68,4387
Les glaneurs et la glaneuse,2000,Documentary,82,0.15,7.6,83,4204
Merci pour le chocolat,2000,Crime,101,0.44,6.7,82,4152
The Crew,2000,Crime,88,13.02,5.6,37,4141
Peines d'amour perdues,2000,Romance,93,0.28,6.1,35,4019
Je rêvais de l'Afrique,2000,Adventure,114,6.54,5.6,33,3957
La défense Loujine,2000,Drama,109,1.05,6.9,64,3941
La coupe d'or,2000,Drama,130,3.04,6,62,3905
Time and Tide,2000,Action,113,0.09,6.9,60,3860
Sex & manipulations,2000,Drama,105,5.22,4.6,14,3829
Maelström,2000,Drama,87,0.03,7.1,66,3774
Whipped,2000,Comedy,82,4.14,4.4,10,3722
Groove,2000,Drama,86,1.11,6.5,54,3718
Vulgar,2000,Crime,87,0.01,5.3,5,3687
Le battement d'ailes du papillon,2000,Comedy,90,0.13,6.9,59,3648
Happy Times,2000,Comedy,102,0.24,7.5,63,3588
Big Eden - Un petit miracle,2000,Comedy,118,0.51,7.4,59,3581
Beautiful,2000,Drama,112,3.06,5.4,23,3394
Suzhou River,2000,Drama,83,0.1,7.5,76,3373
Committed,2000,Comedy,98,0.04,5.2,44,3352
Dancing at the Blue Iguana,2000,Drama,123,0.03,5.8,41,3338
La vierge des tueurs,2000,Crime,101,0.53,6.8,73,3272
Comment tuer le chien de son voisin,2000,Comedy,107,0.05,7,40,3247
À la verticale de l'été,2000,Drama,112,0.46,7.2,72,3232
Bangkok Dangerous,2000,Action,105,0.02,6.6,45,3218
Beautiful Creatures,2000,Comedy,86,0.06,5.9,40,3173
Thomas and the Magic Railroad,2000,Adventure,85,15.91,3.7,19,3145
Escaflowne,2000,Adventure,98,0,6.8,50,3008
Songcatcher,2000,Drama,109,3.05,7.2,63,2962
Infidèle,2000,Drama,155,0.73,7.5,79,2942
Eureka,2000,Drama,217,0.05,7.9,78,2934
Everybody Famous,2000,Comedy,97,0.07,7,60,2891
D'un rêve à l'autre,2000,Drama,105,0.77,5.6,28,2858
Urbania,2000,Drama,103,1.03,7,73,2809
Crime + Punishment,2000,Drama,100,0.03,5.9,32,2781
Aberdeen,2000,Drama,113,0.06,7.2,78,2760
Le seigneur des anneaux: La communauté de l'anneau,2001,Adventure,178,315.54,8.8,92,1370856
Un homme d'exception,2001,Biography,135,170.74,8.2,72,693160
Monstres et Cie,2001,Animation,92,289.92,8.1,78,662356
Donnie Darko,2001,Drama,113,0.19,8.1,88,644625
Le fabuleux destin d'Amélie Poulain,2001,Comedy,122,33.23,8.3,69,595449
Shrek,2001,Animation,90,267.67,7.9,84,512971
Harry Potter à l'école des sorciers,2001,Adventure,152,317.58,7.6,64,507373
Le voyage de Chihiro,2001,Animation,125,10.06,8.6,96,486092
Ocean's Eleven,2001,Crime,116,183.41,7.8,74,439557
Training Day,2001,Crime,122,76.63,7.7,69,332271
La chute du faucon noir,2001,Drama,144,108.64,7.7,74,317368
Fast and Furious,2001,Action,106,144.53,6.7,58,298959
Les autres,2001,Horror,101,96.52,7.6,74,294278
Pearl Harbor,2001,Action,183,198.54,6.1,44,275410
Mulholland Drive,2001,Drama,147,7.22,8,83,267579
Le retour de la momie,2001,Action,130,202.02,6.3,48,266917
A.I. intelligence artificielle,2001,Adventure,146,78.62,7.1,65,258796
Jurassic Park III,2001,Action,92,181.17,5.9,42,242887
Moulin Rouge,2001,Drama,127,57.39,7.6,66,238975
La famille Tenenbaum,2001,Comedy,110,52.36,7.6,76,228162
Hannibal,2001,Crime,131,165.09,6.8,57,223324
Vanilla Sky,2001,Fantasy,136,100.61,6.9,45,220532
Zoolander,2001,Comedy,90,45.17,6.6,61,217515
American Pie 2,2001,Comedy,108,145.1,6.4,43,213346
Blow,2001,Biography,124,52.99,7.6,52,212975
Stalingrad,2001,Drama,131,51.4,7.6,53,208273
La planète des singes,2001,Action,119,180.01,5.7,50,192156
Le journal de Bridget Jones,2001,Comedy,97,71.54,6.7,66,191311
Rush Hour 2,2001,Action,90,226.16,6.6,48,173322
Lara Croft: Tomb Raider,2001,Action,100,131.14,5.8,33,169695
Opération Espadon,2001,Action,99,69.77,6.5,32,162779
K-PAX - L'homme qui vient de loin,2001,Drama,120,50.34,7.4,49,160103
Chevalier,2001,Action,132,56.57,6.9,56,147588
La revanche d'une blonde,2001,Comedy,96,96.52,6.2,59,147404
Jay & Bob contre-attaquent,2001,Comedy,104,30.06,6.9,51,135124
From Hell,2001,Horror,122,31.6,6.8,54,133031
Sam je suis Sam,2001,Drama,132,40.31,7.6,28,129735
Scary Movie 2,2001,Comedy,83,71.31,5.3,29,129446
Spy game - Jeu d'espions,2001,Action,126,0.03,7.1,63,128330
L'amour extra large,2001,Comedy,114,70.84,5.9,48,115588
The Score,2001,Crime,124,71.07,6.8,71,107861
Évolution,2001,Comedy,101,38.35,6.1,40,107485
Princesse malgré elle,2001,Comedy,111,108.25,6.3,52,105238
Ghost World,2001,Comedy,111,6.22,7.4,88,102391
Et... ta mère aussi!,2001,Adventure,106,13.62,7.7,88,98603
Rat Race,2001,Adventure,112,56.62,6.4,52,98286
Jeepers creepers - Le chant du diable,2001,Horror,90,37.9,6.1,49,96577
Un amour à New York,2001,Comedy,90,50.29,6.9,52,92798
Le Mexicain,2001,Adventure,123,66.81,6.1,43,92533
Spy Kids,2001,Action,88,112.72,5.4,71,91961
The barber: l'homme qui n'était pas là,2001,Crime,116,7.49,7.6,73,91514
En territoire ennemi,2001,Action,106,59.07,6.4,49,91311
Sex Academy,2001,Comedy,89,38.25,5.7,32,85733
Ali,2001,Biography,157,58.2,6.8,65,83914
Lagaan,2001,Adventure,224,0.07,8.2,84,83790
L'expérience,2001,Drama,120,0.14,7.8,60,83554
"Atlantide, l'empire perdu",2001,Animation,95,84.05,6.8,52,82381
The One,2001,Action,87,43.91,5.9,25,82245
Super Troopers,2001,Comedy,100,18.49,7.1,48,81620
Final Fantasy: Les créatures de l'esprit,2001,Animation,106,32.13,6.4,49,75815
Sweet November,2001,Drama,119,25.29,6.7,27,75586
À l'ombre de la haine,2001,Drama,111,31.25,7.1,69,75223
13 fantômes,2001,Horror,91,41.87,5.6,30,69863
Kate et Léopold,2001,Comedy,118,47.12,6.4,44,69735
Gosford Park,2001,Comedy,131,41.31,7.3,90,69231
Un mariage trop parfait,2001,Comedy,103,60.4,5.2,33,66526
Emprise,2001,Crime,100,13.1,7.3,64,66391
Le masque de l'araignée,2001,Drama,104,74.08,6.3,42,63508
Shaolin Soccer,2001,Action,113,0.49,7.3,68,62883
Le dernier château,2001,Action,131,18.21,6.9,43,60807
Bandits,2001,Comedy,123,41.58,6.5,60,59854
Une virée en enfer,2001,Mystery,97,21.97,6.6,75,56964
Le baiser mortel du dragon,2001,Action,98,36.85,6.6,58,55818
Le pacte des loups,2001,Action,142,11.26,7.1,57,55532
Waking Life,2001,Animation,99,2.89,7.8,82,53658
L'échine du diable,2001,Drama,106,0.75,7.5,78,52504
Save the Last Dance,2001,Drama,112,91.06,6.2,53,51162
Animal! L'animal...,2001,Comedy,84,57.74,4.8,43,50613
Couple de stars,2001,Comedy,102,93.61,5.7,44,49943
Comme chiens et chats,2001,Action,87,93.39,5.1,47,49466
Péché originel,2001,Drama,116,16.25,6,33,47839
The Majestic,2001,Drama,152,27.81,6.9,27,47501
Session 9,2001,Horror,100,0.38,6.5,58,47156
Beautés empoisonnées!,2001,Comedy,123,40.33,6.2,47,46605
How High,2001,Comedy,93,31.16,6.3,29,46285
The Pledge,2001,Crime,124,19.72,6.8,71,46056
Wet Hot American Summer,2001,Comedy,97,0.29,6.7,42,46006
Ghosts of Mars,2001,Action,98,8.43,4.9,35,45645
Ichi the Killer,2001,Action,129,0,7.1,55,45575
15 minutes,2001,Action,120,24.4,6.1,34,44667
Joe La Crasse,2001,Adventure,91,27.09,5.9,20,44625
Le 51e état,2001,Action,93,5.2,6.3,23,44513
La Pianiste,2001,Drama,131,1.9,7.5,79,44278
Pas un mot...,2001,Drama,113,55,6.3,38,43006
Jason X,2001,Action,91,13.12,4.4,25,42742
Va te faire foutre Freddy!,2001,Comedy,87,14.25,4.5,13,41488
La maison sur l'océan,2001,Drama,125,15.65,7.5,45,40534
No Man's Land,2001,Drama,98,1.06,8,84,39975
Destination: Graceland,2001,Action,125,15.74,5.9,21,39658
Rock Star,2001,Drama,105,17.01,6.2,54,36634
Dr. Dolittle 2,2001,Comedy,87,112.95,4.7,49,36587
Driven,2001,Action,116,32.62,4.5,29,36001
"Cowboy Bebop, le film",2001,Animation,115,1,7.9,61,35572
Diablesse,2001,Action,90,19.35,5.9,22,34945
Le sortilège du scorpion de Jade,2001,Comedy,103,7.5,6.8,52,34177
In the Bedroom,2001,Crime,130,35.93,7.5,86,33939
Le chevalier black,2001,Adventure,95,33.42,4.8,32,33179
Danny Balint,2001,Drama,98,0.41,7.2,75,32778
Coeurs perdus en Atlantide,2001,Drama,101,24.19,6.9,55,32425
Wasabi,2001,Action,94,0.08,6.7,53,31986
Carton rouge,2001,Comedy,99,0.09,6.5,45,31507
Lucia et le sexe,2001,Drama,128,1.49,7.2,65,31396
Bully,2001,Biography,108,1.54,7,45,30998
Terre-Neuve,2001,Drama,111,11.43,6.8,47,29945
Capitaine Corelli,2001,Drama,131,25.54,5.9,36,29690
Braquages,2001,Action,109,0.05,6.5,66,29412
Hors limites,2001,Action,101,51.76,5.5,39,28952
Hedwig and the Angry Inch,2001,Comedy,95,3.03,7.8,85,27956
Osmosis Jones,2001,Animation,95,13.6,6.3,57,27547
La prison de verre,2001,Crime,106,18,5.8,34,27345
Bubble Boy,2001,Adventure,84,5,5.6,41,27206
Divine mais dangereuse,2001,Comedy,93,6.29,6.1,46,26638
AntiTrust,2001,Action,105,10.97,6.1,31,26518
Jimmy Neutron: Un garçon génial,2001,Animation,82,80.94,6,65,26190
The Tailor of Panama,2001,Comedy,109,13.73,6.1,66,25185
Hardball,2001,Drama,106,40.22,6.4,48,24114
Écarts de conduite,2001,Biography,132,30.17,6.5,43,24085
Nadia,2001,Comedy,93,4.92,6.1,51,22494
L'intrus,2001,Crime,89,45.21,5.5,29,22345
Sexy/Crazy,2001,Drama,99,16.93,6.5,61,22339
Mortelle Saint Valentin,2001,Horror,96,20.38,4.7,18,21687
Buffalo Soldiers,2001,Comedy,98,0.35,6.9,56,21487
Attraction animale,2001,Comedy,97,27.34,6.1,32,21232
Le mariage des moussons,2001,Comedy,114,13.88,7.4,77,21028
Crocodile Dundee III,2001,Adventure,92,25.64,4.8,37,21006
Impostor,2001,Drama,95,6.11,6.2,33,20900
Les hommes de main,2001,Crime,92,11.63,6.1,30,20626
Angel Eyes,2001,Drama,102,24.04,5.6,39,20395
Glitter,2001,Drama,104,4.27,2.2,14,20110
Les pieds sur terre,2001,Comedy,87,64.19,5.4,32,19857
Josie et les Pussycats,2001,Comedy,98,14.25,5.3,47,19744
Enigma,2001,Drama,119,4.3,6.4,64,18521
Lost and Delirious,2001,Drama,103,0.3,7,53,18070
Metropolis,2001,Animation,108,0.64,7.3,75,18061
Othello 2003,2001,Drama,95,16.02,6.2,53,17883
Sennen joyû,2001,Animation,87,0.04,7.9,70,17269
Lantana,2001,Drama,121,4.46,7.3,84,17201
Tape,2001,Drama,86,0.49,7.3,71,16813
Allison Forever,2001,Comedy,87,11.56,5.8,52,16329
Les visiteurs en Amérique,2001,Comedy,88,4.78,5.8,38,16265
Human Nature,2001,Comedy,96,0.7,6.4,56,16169
Tomcats,2001,Comedy,95,13.56,5.3,15,16004
Storytelling,2001,Comedy,87,0.91,6.9,50,15918
La chambre du fils,2001,Drama,99,1.01,7.4,73,15729
Made,2001,Comedy,95,5.31,6.4,62,15676
Iris,2001,Biography,91,1.29,7.1,76,15554
"Snow, Sex and Sun",2001,Comedy,89,13.9,6.3,22,15228
Monkeybone,2001,Animation,93,5.41,4.7,40,15143
Le placard,2001,Comedy,84,6.67,7.1,72,14915
La tentation de Jessica,2001,Comedy,97,7.02,6.6,72,14682
Hot Summer,2001,Comedy,108,19.69,5,21,13712
Escrocs,2001,Comedy,94,32.1,5.5,37,13376
D'Artagnan,2001,Action,104,27.05,4.7,27,13252
Kaïro,2001,Horror,119,0.05,6.6,70,13128
Elling,2001,Comedy,89,0.31,7.6,70,12937
Le fils de la mariée,2001,Comedy,123,0.62,7.9,68,12687
American Outlaws,2001,Action,94,13.26,6,25,12649
Folles de lui,2001,Comedy,86,10.4,5.4,27,12423
Sugar & Spice,2001,Comedy,81,13.28,5.6,48,12108
Pootie Tang,2001,Action,81,3.29,5.2,31,12096
Sur mes lèvres,2001,Crime,115,1.36,7.4,82,11860
Intacto,2001,Drama,108,0.3,6.9,59,11853
Trop c'est trop,2001,Comedy,95,5.52,4.9,21,11799
Corky Romano,2001,Comedy,86,23.98,4.6,20,11371
Nowhere in Africa,2001,Biography,141,6.17,7.7,72,11253
Dogtown and Z-Boys,2001,Documentary,91,1.29,7.7,76,10992
Le peuple migrateur,2001,Documentary,98,10.76,8,82,10773
Baby Boy,2001,Crime,130,28.73,6.4,55,10662
Bleu profond,2001,Crime,101,8.82,6.7,78,10173
Novocaine,2001,Comedy,95,2.04,5.8,45,9939
Intimité,2001,Drama,119,0.1,6.2,69,9925
Charlotte Gray,2001,Drama,121,0.67,6.4,48,9538
The Grey Zone,2001,Drama,108,0.52,7.1,58,9239
Super papa,2001,Comedy,98,22.77,5.5,42,8966
Thirteen Conversations About One Thing,2001,Drama,104,3.29,7.1,74,8964
L.I.E. Long Island Expressway,2001,Crime,97,1.14,7.2,73,8897
À ma soeur!,2001,Drama,83,0.72,6.5,77,8863
Manic,2001,Drama,100,0.07,7.4,60,8695
Nabbeun namja,2001,Drama,100,0,6.8,49,7980
Spot,2001,Action,94,33.36,5.4,24,7869
The Anniversary Party,2001,Comedy,115,4.01,6.3,56,7629
La Cour de récré: Vive les vacances!,2001,Animation,82,36.7,6.6,43,7616
Les vampires du désert,2001,Horror,90,7.29,5.3,35,7595
Soul Survivors,2001,Drama,84,3.1,3.9,20,7541
Tableau de famille,2001,Drama,106,0.22,7.4,69,7473
Coup de peigne,2001,Comedy,94,0.64,6.3,38,7211
