ALTER,GESCHLECHT,RASSE1,RASSE1_MISCHLING,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
51-60,w,Russischer Terrier,,2009,w,schwarz
41-50,m,Jack Russel Terrier,Mischling,2004,w,beige/weiss
31-40,w,Border Collie,Mischling,2009,w,schwarz/weiss
31-40,w,Chihuahua,,2016,m,braun/weiss
51-60,w,Berger des Pyrenées,,2010,m,beige
61-70,w,Zwergschnauzer,,2016,m,schwarz/silber
61-70,w,Jack Russel Terrier,Mischling,2002,m,weiss/braun
31-40,w,Rhodesian Ridgeback,,2014,m,weizen
61-70,m,Labrador Retriever,,2004,m,schwarz
71-80,w,Mittelpudel,,2011,w,schwarz
31-40,m,Jack Russel Terrier,,2010,m,tricolor
31-40,w,Mischling klein,,2003,m,braun/schwarz
51-60,w,Berger des Pyrenées,,2003,m,grau/schwarz
71-80,m,Volpino,Mischling,1999,w,braun/schwarz
61-70,m,Beagle,,2003,w,tricolor
41-50,m,Irish Terrier,,2015,m,beige/braun
41-50,w,Border Collie,,2016,w,tricolor
31-40,m,Spitz,Mischling,2003,m,schwarz
61-70,w,Cairn Terrier,,2003,m,grau/braun
61-70,m,Spitz,,2003,m,weiss
61-70,m,Mischling klein,,2003,m,hellbraun
41-50,m,Bichon Havanais,,2012,m,creme
81-90,w,Pudel,,2011,m,schwarz
81-90,w,Pudel,,2004,w,schwarz
81-90,w,Pudel,,2011,m,weiss
41-50,m,Shih Tzu,,2003,w,tricolor
61-70,w,Pekingese,,2010,m,rot/braun
31-40,w,Prager Rattler,,2007,w,black/tan
31-40,w,Prager Rattler,,2008,m,black/tan
61-70,w,Mittelpudel,,2015,m,schwarz/silber
51-60,m,Bolonka Zwetna,,2014,w,schwarz/weiss
81-90,m,Pekingese,,2015,w,beige
71-80,w,Terrier,,2002,m,weiss
61-70,w,Soft Coated Wheaten Terrier,,2003,w,weiss/beige
51-60,w,Jack Russel Terrier,Mischling,2003,m,schwarz/weiss
31-40,w,American Bulldog,,2012,m,schwarz/weiss
71-80,m,Appenzeller,Mischling,2003,w,tricolor
51-60,m,Chihuahua,Mischling,2003,m,braun
61-70,w,American Staffordshire Terrier,Mischling,2008,m,gestromt
61-70,w,Terrier,Mischling,2002,w,braun
51-60,w,Galgo Español,,2014,m,braun/schwarz
51-60,m,Zwergpudel,,2009,w,weiss
71-80,m,Jack Russel Terrier,,2003,m,weiss/rot
61-70,w,Zwergpudel,,2003,m,schwarz
51-60,m,Rottweiler,,2002,m,schwarz
71-80,w,Beagle,,2013,w,tricolor
71-80,m,Mischling klein,,2010,w,rehbraun
61-70,w,Griffon,,2011,m,black/tan
61-70,w,Mischling klein,,2003,w,schwarz/braun/weiss
61-70,m,Mischling klein,,2003,m,schwarz/braun
51-60,m,Mischling klein,,2003,w,weiss
51-60,w,Welsh Corgi,,2003,w,schwarz/braun/weiss
61-70,w,Mischling klein,,2010,w,schwarz
51-60,w,Mischling klein,,2003,w,schwarz/braun
51-60,w,Labrador Retriever,,2012,w,schwarz
51-60,w,Labradoodle,,2008,w,braun
51-60,w,Riesenschnauzer,,2004,w,schwarz
51-60,w,Mittelschnauzer,,2012,m,schwarz
31-40,w,Mischling klein,,2003,w,schwarz
31-40,w,Golden Retriever,,2005,w,hellbraun
51-60,w,Pinscher,Mischling,2003,w,weiss/braun
51-60,w,Terrier,Mischling,2003,w,schwarz/weiss
71-80,w,Tibet Terrier,,2003,w,goldbraun
71-80,w,Lhasa Apso,,2013,w,creme
71-80,w,Berner Sennenhund,,2007,w,tricolor
51-60,w,Holländischer Schäfer,,2014,w,gestromt
51-60,w,Foxterrier,,2005,m,tricolor
61-70,w,Golden Retriever,,2006,w,golden
41-50,m,Dobermann,,2003,m,braun/rot
51-60,w,Französische Bulldogge,,2016,m,schwarz
51-60,w,West Highland White Terrier,,2002,w,weiss
41-50,w,Pointer,Mischling,2012,w,schwarz
51-60,m,Leonberger,,2014,m,braun/schwarz
41-50,w,Mischling gross,,2012,w,braun/weiss
51-60,w,Mischling klein,,2003,w,schwarz/weiss
51-60,w,Australian Shepherd,,2009,w,rot
51-60,w,Australian Shepherd,,2003,m,blue/merle
71-80,m,Mischling klein,,2003,w,braun/weiss
41-50,m,Boston Terrier,,2016,w,blau/weiss
41-50,w,Jack Russel Terrier,,2010,w,tricolor
71-80,m,American Cocker Spaniel,,2005,w,blondfarben
31-40,w,Parson Russell Terrier,,2008,m,weiss/braun
31-40,w,Labrador Retriever,,2013,m,schwarz
41-50,w,Chihuahua,,2016,m,weiss/schwarz
41-50,w,Französische Bulldogge,,2011,w,creme
41-50,w,Yorkshire Terrier,,2010,w,braun/grau
51-60,w,West Highland White Terrier,,2003,w,weiss
51-60,w,Schäfer,,2004,m,braun/schwarz
71-80,w,Yorkshire Terrier,,2006,m,blue/tan
41-50,m,Berner Sennenhund,,2009,w,tricolor
71-80,m,Labrador Retriever,Mischling,2004,m,hellbraun
51-60,w,Berger blanc Suisse,,2012,w,weiss
51-60,w,Sennenhund,Mischling,2006,m,tricolor
41-50,w,Italienisches Windspiel,,2012,w,rot/braun
61-70,m,Yorkshire Terrier,,2003,w,black/tan
61-70,w,Australian Shepherd,,2003,m,schwarz/grau/weiss
61-70,m,Labrador Retriever,Mischling,2016,w,schwarz
41-50,w,Labrador Retriever,,2003,m,schwarz
41-50,w,Mischling klein,,1999,m,schwarz/braun/grau
31-40,m,West Highland White Terrier,,2003,m,weiss
31-40,w,Sennenhund,,2003,w,braun/schwarz
41-50,w,Griffon,,2009,w,braun/schwarz/weiss
41-50,w,Segugio,,2013,m,gestromt
41-50,w,Spinone,Mischling,2002,w,beige
41-50,m,Vorstehhund,Mischling,2003,w,schwarz/braun
61-70,w,Jack Russel Terrier,,2013,w,weiss/schwarz
51-60,w,Bearded Collie,,2003,m,grau/weiss
51-60,m,Schäfer,Mischling,2003,m,rot/weiss
61-70,w,Collie,,2011,m,beige/weiss
51-60,w,Jack Russel Terrier,,2002,m,tricolor
51-60,m,Bergamasker,,2015,w,grau/weiss/schwarz
71-80,w,Kromfohrländer,Mischling,2002,w,weiss/braun
41-50,m,Deutsche Dogge,,2012,m,gelb
51-60,w,Labrador Retriever,,2012,m,braun
41-50,w,Chihuahua,,2012,m,blue/tan
41-50,w,Chihuahua,,2008,m,braun/schwarz
91-100,m,Jack Russel Terrier,,2003,m,weiss/braun
41-50,w,Bolonka Zwetna,,2014,m,schwarz/weiss
51-60,m,Beagle,,2004,m,tricolor
41-50,m,Pudel,,2003,m,apricot
51-60,w,Yorkshire Terrier,,2008,w,black/tan
41-50,m,Yorkshire Terrier,Mischling,2003,w,braun/schwarz
71-80,w,Mischling klein,,2016,w,braun/beige
41-50,w,Shih Tzu,,2015,w,weiss/braun
51-60,m,Berner Sennenhund,,2002,w,schwarz/weiss
51-60,m,Mischling klein,,2004,m,hellbraun
41-50,w,Husky,Mischling,2003,w,weiss/braun
71-80,w,Border Terrier,,2004,w,blue/tan
71-80,w,Shih Tzu,,2016,m,weiss/schwarz
51-60,w,Mischling gross,,2016,w,weiss/braun
61-70,w,Jack Russel Terrier,Mischling,1998,m,rot/weiss
71-80,w,Pudel,Mischling,2009,m,weiss
61-70,m,Mischling klein,,2004,w,braun/schwarz
41-50,m,Schäfer,Mischling,2014,m,schwarz
61-70,w,Mischling klein,,2004,m,beige
51-60,w,Cairn Terrier,,2002,w,dunkel gestromt
31-40,w,Appenzeller,,2002,w,schwarz/weiss
51-60,m,Cairn Terrier,,2003,w,brindle
61-70,m,Welsh Springer Spaniel,,2004,w,rot/weiss
61-70,w,English Setter,Mischling,2004,w,beige/rot
71-80,w,Zwergpudel,,1999,m,grau
41-50,m,Terrier,,2004,w,schwarz
41-50,w,Mischling klein,,2004,m,schwarz/grau/weiss
61-70,w,Shih Tzu,,2003,w,weiss/beige
61-70,w,Cairn Terrier,,2004,m,brindle
51-60,m,Dackel,,2003,w,schwarz/braun/weiss
51-60,w,Coton de Tulear,,2004,m,weiss
71-80,m,West Highland White Terrier,,2004,w,weiss
31-40,m,Golden Retriever,,2009,m,braun
41-50,w,Zwergpudel,,2015,w,silber
41-50,w,Zwergpudel,,2010,m,schwarz
41-50,w,Mittelpudel,,2012,w,schwarz
41-50,w,Shih Tzu,,2005,w,gold/weiss
41-50,w,Mischling klein,,2008,w,braun/schwarz
41-50,w,Zwergpudel,,2009,w,braun
71-80,w,Prager Rattler,,2003,m,schwarz
61-70,m,Appenzeller Sennenhund,,2014,w,tricolor
51-60,w,Labrador Retriever,,2004,m,gelb
51-60,m,Riesenschnauzer,,2004,w,schwarz
71-80,m,Labrador Retriever,Mischling,2005,m,schwarz
71-80,w,Border Terrier,,2004,w,blue/tan
51-60,w,Continental Bulldog,,2007,w,gestromt
51-60,w,Yorkshire Terrier,,2015,w,braun/grau
51-60,m,Münsterländer,,2004,w,schwarz/weiss
51-60,w,Yorkshire Terrier,,2006,w,black/tan
51-60,w,Chihuahua,,2009,w,weiss
51-60,m,Lagotto Romagnolo,,2004,m,weiss/schwarz
41-50,m,Vizsla,,2009,m,braun
71-80,w,Riesenschnauzer,,2013,w,schwarz
51-60,w,Mischling klein,,2004,w,schwarz
41-50,w,Labrador Retriever,,2004,w,schwarz/weiss/braun
51-60,w,Staffordshire Bull Terrier,,2002,w,beige/weiss
41-50,m,Yorkshire Terrier,Mischling,2006,w,schwarz/gelb
51-60,m,Galgo,,2012,w,braun gestromt
51-60,m,Whippet,,2002,w,schwarz
51-60,w,Labrador Retriever,,2002,m,schwarz
71-80,w,Beagle,,2003,m,schwarz/weiss/braun
51-60,w,Berger des Pyrenées,,2004,m,fauve
31-40,m,Terrier,Mischling,2004,m,braun
31-40,m,Mischling klein,,2007,m,weiss
31-40,m,Mischling klein,,2004,m,schwarz/weiss
81-90,w,Zwergpudel,,2015,m,weiss
51-60,w,Parson Jack Russell Terrier,,2004,m,tricolor
61-70,w,Mischling klein,,2007,w,schwarz/braun
61-70,w,Mischling gross,,2010,w,braun/grau
51-60,m,Appenzeller,,2014,w,tricolor
51-60,w,Deutscher Schäfer,,2004,w,grau/braun
51-60,w,Bergamasker,Mischling,2010,m,beige
51-60,w,Sennenhund,Mischling,2012,m,tricolor
41-50,w,Appenzeller Sennenhund,,2004,w,schwarz/braun/weiss
31-40,w,Rehpinscher,,2009,w,rehbraun
61-70,m,Border Terrier,,2004,m,rot/braun
51-60,w,Appenzeller,,2004,w,tricolor
61-70,m,Irish Setter,Mischling,2004,w,golden
71-80,w,Welsh Corgi,,2004,w,schwarz/weiss
31-40,w,Alaskan Malamute,,2004,w,schwarz/grau/weiss
41-50,w,Nova Scotia Duck Tolling Retriever,,2004,w,rot/weiss
51-60,w,Kromfohrländer,,2004,m,weiss/braun
81-90,m,Deutscher Schäfer,,2004,w,braun/schwarz
71-80,m,Labrador Retriever,,2014,m,schwarz
61-70,w,Mops,,2003,m,beige
71-80,w,Cairn Terrier,,2004,m,schwarz/rot
71-80,w,Zwergpudel,,2013,m,schwarz
71-80,w,Grosspudel,,2008,m,weiss
51-60,w,Biewer Yorkshire Terrier,,2015,w,tricolor
31-40,w,Mops,,2004,w,beige
61-70,w,Jack Russel Terrier,,2003,m,tricolor
51-60,w,Hovawart,,2016,w,schwarz
61-70,m,Appenzeller Sennenhund,Mischling,2010,m,tricolor
61-70,m,Dachshund,,2004,m,schwarz/rot
41-50,w,Terrier,Mischling,2004,m,schwarz/weiss
51-60,w,Mittelpudel,,2005,m,schwarz
61-70,m,Terrier,Mischling,2001,m,schwarz
41-50,w,Mischling klein,,2008,m,beige
71-80,w,Chow Chow,,2004,w,braun
51-60,m,Labrador Retriever,,2004,m,gelb
71-80,w,Mischling klein,,2014,w,hellbraun
51-60,m,Mastiff,Mischling,2009,m,blondfarben
41-50,w,Mischling klein,,2004,w,braun
71-80,m,Deutscher Schäfer,,2012,w,schwarz/braun
41-50,w,Mischling klein,,2004,w,weiss/beige
61-70,w,Zwergpinscher,,2004,m,braun
51-60,w,Yorkshire Terrier,,2016,m,schwarz/braun
51-60,w,Malteser,Mischling,2014,m,weiss/beige
71-80,w,Golden Retriever,,2004,w,golden
61-70,w,Border Collie,Mischling,2004,w,schwarz/weiss/braun
61-70,w,Mischling klein,,2006,m,braun
71-80,w,Appenzeller,,2004,w,tricolor
71-80,w,Schäfer,,2004,w,schwarz/gelb
51-60,w,Mischling klein,,2011,m,schwarz/braun
61-70,w,Staffordshire Bull Terrier,,2004,m,schwarz
61-70,w,Miniature Bull Terrier,,2016,w,schwarz/weiss
51-60,m,Collie,,2013,m,tricolor
41-50,m,Labrador Retriever,Mischling,2012,m,schwarz
41-50,m,Rhodesian Ridgeback,,2004,m,hellbraun
51-60,w,Collie,Mischling,2004,w,weiss/schwarz/braun
31-40,w,Schäfer,Mischling,2004,m,braun/weiss/schwarz
31-40,w,Labrador Retriever,,2004,m,schwarz
81-90,w,Golden Retriever,Mischling,2004,m,golden
51-60,m,Labrador Retriever,Mischling,2004,m,schwarz
61-70,w,Pekingese,Mischling,2004,w,hellbraun
61-70,w,Mischling klein,,2004,m,weiss/rot
41-50,w,Tibetan Spaniel,,2007,w,braun/weiss
31-40,w,Sibirischer Husky,,2005,w,silbergrau
31-40,w,Sibirischer Husky,,2002,m,schwarz/weiss
31-40,w,Sibirischer Husky,,2006,m,schwarz/weiss
31-40,w,Sibirischer Husky,,2016,w,tricolor
31-40,w,Sibirischer Husky,,2016,w,grau/weiss
31-40,w,Sibirischer Husky,,2014,m,weiss/braun/schwarz
31-40,w,Sibirischer Husky,,2014,m,weiss/braun/schwarz
31-40,w,Sibirischer Husky,,2011,w,schwarz/weiss
31-40,w,Sibirischer Husky,,2012,w,schwarz/weiss
31-40,w,Sibirischer Husky,,2009,w,schwarz/weiss
41-50,w,Pinscher,,2008,w,braun
41-50,w,Jack Russel Terrier,Mischling,2004,w,braun/weiss
51-60,w,English Cocker Spaniel,,2009,m,blauschimmel
61-70,w,Shih Tzu,,2004,m,schwarz/weiss
51-60,w,Mittelpudel,,2016,w,schwarz
41-50,m,Mischling klein,,2004,w,schwarz
41-50,w,Mischling klein,,2010,w,beige
41-50,w,Jack Russel Terrier,,2001,m,schwarz/weiss
41-50,w,Labrador Retriever,,2003,w,schwarz
61-70,m,Mischling klein,,2004,m,schwarz
41-50,m,West Highland White Terrier,,2004,w,weiss
41-50,m,Tibetan Spaniel,,2011,m,beige
41-50,w,American Staffordshire Terrier,,2004,m,schwarz
51-60,w,West Highland White Terrier,,2004,m,weiss
51-60,w,Lhasa Apso,,2004,w,sandfarbig
51-60,w,Yorkshire Terrier,,2005,m,steelblue/tan
51-60,w,Bichon frisé,,2004,m,weiss
41-50,w,Podenco,Mischling,2004,w,hellbraun
41-50,w,Yorkshire Terrier,,2004,m,schwarz/braun
61-70,w,Havaneser,,2014,m,weiss
41-50,w,Lhasa Apso,Mischling,2007,w,weiss/beige
61-70,m,Gordon Setter,,2004,m,schwarz/braun
51-60,w,Mischling klein,,2010,w,weiss/braun
31-40,w,Mittelschnauzer,,2005,m,schwarz
41-50,w,Zwergpinscher,,2004,m,rot/braun
41-50,m,Labrador Retriever,,2004,w,blondfarben
71-80,w,Tervueren,,2004,w,braun/schwarz
61-70,w,Yorkshire Terrier,,2004,w,blue/tan
41-50,w,Yorkshire Terrier,,2004,m,schwarz/braun
31-40,w,Labrador Retriever,,2005,w,schwarz
61-70,m,Rehpinscher,,2004,m,braun
51-60,w,Zwergpinscher,,2012,w,braun
41-50,w,West Highland White Terrier,,2001,w,weiss
61-70,m,Basset Hound,Mischling,2003,m,schwarz/weiss
41-50,m,Tibetan Spaniel,,2011,m,blond/weiss
41-50,m,Mischling klein,,2013,m,braun/weiss
61-70,w,Bergamasker,,2005,m,schwarz/braun/grau
41-50,w,Japan Chin,,2005,m,weiss/schwarz
61-70,w,Lhasa Apso,,2004,m,schwarz/weiss
61-70,w,Tibet Terrier,,2004,m,schwarz/braun
61-70,w,Tibetan Spaniel,,2009,m,schwarz/weiss
61-70,w,Polski Owczarek Nizinny,,2004,m,schwarz/weiss
51-60,w,Spinone,Mischling,2007,w,grau/braun
31-40,w,Jack Russel Terrier,,2005,w,tricolor
61-70,m,Mischling klein,,2004,w,schwarz/braun
51-60,w,Nova Scotia Duck Tolling Retriever,,2012,m,rot/weiss
71-80,w,Mischling klein,,2003,w,tricolor
51-60,m,Mischling klein,,2014,w,tricolor
51-60,m,Border Collie,,2004,m,schwarz/weiss
51-60,m,Belgischer Schäfer,Mischling,2005,w,schwarz
61-70,m,Pekingese,,2004,m,braun/schwarz
51-60,w,Terrier,Mischling,2004,m,hellbraun
31-40,w,Kleinspitz,,2005,w,hellbraun
51-60,w,Cairn Terrier,,2005,m,brindle
41-50,w,Welsh Terrier,,2016,w,rot/schwarz
31-40,w,Französische Bulldogge,,2003,m,schwarz/weiss
71-80,w,Yorkshire Terrier,,2004,w,braun/schwarz
41-50,m,Jack Russel Terrier,,2004,w,weiss/schwarz/braun
51-60,w,Rehpinscher,Mischling,2012,w,schwarz/braun/weiss
61-70,m,Dalmatiner,,2005,m,schwarz/weiss
71-80,w,Jack Russel Terrier,,2005,w,weiss/schwarz/braun
71-80,w,Jack Russel Terrier,,2007,m,tricolor
41-50,w,Sheltie,,2014,w,tricolor
41-50,m,Pinscher,,2001,m,schwarz/braun
61-70,w,Coton de Tulear,,2005,m,weiss
41-50,m,Continental Bulldog,,2005,w,weiss/schwarz/braun
61-70,m,Labrador Retriever,,2004,w,schwarz
31-40,m,Labrador Retriever,,2005,m,schwarz
61-70,w,Lagotto Romagnolo,,2005,w,weiss
41-50,w,Labrador Retriever,,2006,w,schwarz
41-50,w,Mischling klein,,2012,w,schwarz/weiss
61-70,w,Tibet Terrier,,2004,m,braun/schwarz
71-80,w,Border Terrier,,2005,w,rot/schwarz
31-40,w,Yorkshire Terrier,,2014,w,schwarz/braun
31-40,w,Yorkshire Terrier,,2014,m,schwarz/braun
51-60,w,Volpino,,2004,w,beige/weiss
41-50,w,Mischling klein,,2005,w,grau/weiss
41-50,m,Labrador Retriever,,2003,w,beige
61-70,m,Border Collie,,2005,w,schwarz/weiss
41-50,w,Altdeutscher Hütehund,,2005,w,schwarz/grau
51-60,w,Parson Russell Terrier,,2014,w,tricolor
41-50,m,Rhodesian Ridgeback,,2005,w,rotbraun
61-70,w,Zwergpudel,,2005,w,schwarz
61-70,w,Zwergpudel,,2013,m,braun
41-50,m,Labrador Retriever,,2016,w,schwarz
41-50,w,Chihuahua,,2011,m,beige
41-50,w,Chihuahua,,2013,m,braun/weiss
61-70,w,Golden Retriever,Mischling,2004,m,schwarz
51-60,w,Collie,,2005,w,blue/merle
71-80,w,Yorkshire Terrier,,2007,w,blue/tan
51-60,w,Labrador Retriever,,2005,m,schwarz
61-70,w,Malteser,,2004,w,weiss
51-60,w,Mischling klein,,2004,w,beige
61-70,w,Pekingese,,2004,m,beige
41-50,w,Jack Russel Terrier,,2004,m,tricolor
41-50,w,Pinscher,,2014,w,schwarz/braun
21-30,w,Chow Chow,,2004,m,beige
71-80,m,Labrador Retriever,,2010,m,blondfarben
21-30,w,Papillon,Mischling,2005,w,rot/schwarz
61-70,m,Labrador Retriever,,2005,m,schwarz
61-70,w,Shiba Inu,,2005,m,rot/weiss
51-60,w,Flat Coated Retriever,,2005,w,schwarz
51-60,w,Flat Coated Retriever,,2013,w,schwarz
41-50,m,Tibet Terrier,,2005,m,schwarz/weiss
41-50,w,Spitz,,2012,w,schwarz
51-60,m,Foxterrier,,2005,w,weiss/braun
51-60,w,Lhasa Apso,,2005,w,zobel
51-60,w,Labrador Retriever,,2015,m,gelb
51-60,m,Labrador Retriever,,2005,m,hellbraun
61-70,w,English Cocker Spaniel,,2005,m,tricolor
61-70,w,Golden Retriever,Mischling,2004,w,braun
71-80,w,Tibet Terrier,,2005,w,zobel/weiss
41-50,w,Jack Russel Terrier,,2005,m,tricolor
51-60,m,Französische Bulldogge,,2010,m,beige/schwarz
81-90,m,Chow Chow,Mischling,2005,m,rotbraun
41-50,w,Volpino,,2004,m,weiss
51-60,w,Lhasa Apso,,2012,m,schwarz/braun/weiss
51-60,w,Lhasa Apso,,2011,m,beige
71-80,m,Phalène,,2016,m,tricolor
51-60,w,Basset Griffon vendéen,,2005,w,weiss/braun/schwarz
31-40,w,Berger blanc Suisse,,2014,w,weiss
61-70,w,Cairn Terrier,,2005,w,rot
61-70,w,Golden Retriever,,2016,w,schwarz
61-70,w,Golden Retriever,,2005,m,beige
41-50,m,Continental Bulldog,,2015,w,rot/weiss
41-50,m,Jack Russel Terrier,,2014,m,tricolor
31-40,w,Podenco Ibicenco,,2005,w,rot/weiss
51-60,w,Havaneser,,2012,m,tricolor
71-80,m,Mischling klein,,2014,w,schwarz/weiss
51-60,m,Jagdhund,Mischling,2005,m,schwarz
51-60,w,Belgischer Schäfer,,2010,m,silber
61-70,w,Französische Bulldogge,,2016,m,schwarz gestromt
51-60,w,Papillon,,2013,w,tricolor
51-60,w,Papillon,,2013,w,tricolor
61-70,m,Appenzeller,Mischling,2004,m,schwarz/weiss
51-60,m,Pinscher,Mischling,2005,m,schwarz
51-60,w,Labrador Retriever,,2005,w,schwarz
71-80,m,Mischling klein,,2005,w,schwarz/braun
41-50,w,Deutscher Schäfer,,2014,w,schwarz/braun
41-50,w,Appenzeller,,2005,w,schwarz/weiss/braun
41-50,m,Polski Owczarek Nizinny,,2005,w,weiss
71-80,w,Schäfer,,2011,m,weiss
31-40,w,Pudel,Mischling,2008,m,schwarz
51-60,w,Malteser,,2005,w,weiss
51-60,w,Mischling klein,,2000,w,schwarz/braun
61-70,w,Golden Retriever,,2015,m,golden
61-70,m,Tibet Terrier,,2005,m,weiss/schwarz
51-60,w,Labrador Retriever,,2014,w,schwarz
41-50,m,Mischling klein,,2008,w,schwarz/weiss
41-50,w,Pinscher,Mischling,2003,w,braun
51-60,w,Grosspudel,,2004,w,weiss
41-50,w,Scottish Terrier,,2003,w,schwarz/rot
51-60,w,Pinscher,Mischling,2004,w,beige
61-70,w,Dachshund,,2006,m,rot
51-60,w,Cattle Dog,,2005,m,tricolor
31-40,m,Rauhaar Dackel,,2003,w,braun/gold
61-70,w,Cairn Terrier,,2005,m,beige
41-50,m,Zwergspitz,,2005,m,hellbraun
41-50,w,Toller,,2005,w,rot/weiss
31-40,w,Mischling gross,,2015,w,weiss
41-50,w,Malteser,,2005,m,weiss
41-50,w,Malteser,,2003,m,weiss
51-60,w,Chihuahua,,2011,w,braun/beige
51-60,w,Chihuahua,Mischling,2005,w,schwarz/weiss
51-60,w,Chihuahua,,2006,w,schwarz/weiss
41-50,w,Nova Scotia Duck Tolling Retriever,,2005,w,rot/weiss
61-70,w,West Highland White Terrier,,2005,w,weiss
41-50,m,Golden Retriever,,2005,w,blondfarben
51-60,w,Flat Coated Retriever,,2011,w,schwarz
71-80,m,West Highland White Terrier,,2014,m,weiss
61-70,m,Zwergpudel,,2005,w,silber
51-60,w,West Highland White Terrier,,2005,m,weiss
51-60,w,Yorkshire Terrier,,2006,w,tricolor
51-60,w,Yorkshire Terrier,,2012,w,blue/tan
51-60,w,Yorkshire Terrier,,2006,m,blue/tan
61-70,w,Airedale Terrier,,2005,m,schwarz
61-70,w,Zwergschnauzer,,2016,w,pfeffer/salz
51-60,w,Labrador Retriever,,2005,w,gelb
61-70,w,Mischling klein,,2005,w,beige
51-60,w,Appenzeller,,2013,w,tricolor
41-50,m,Labrador Retriever,,2005,m,blondfarben
41-50,m,Labrador Retriever,,2010,m,braun
51-60,w,Chihuahua,,2010,w,braun/schwarz
51-60,w,Zwergschnauzer,,2008,w,schwarz/braun
51-60,w,Chihuahua,,2009,w,weiss
61-70,m,Labrador Retriever,,2005,m,braun
71-80,m,Labrador Retriever,,2007,m,blondfarben
61-70,w,Dackel,Mischling,2015,m,schwarz/braun
51-60,m,Langhaardackel,,2005,w,rot/braun
51-60,m,Langhaardackel,,2012,m,braun
51-60,w,Field Spaniel,,2005,w,braun
31-40,w,Labrador Retriever,Mischling,2005,w,blondfarben
81-90,w,Cairn Terrier,,2005,w,schwarz/grau
61-70,w,Border Collie,,2005,m,schwarz/weiss
61-70,w,Schäfer,,2000,w,grau/weiss
51-60,m,Schnauzer,Mischling,2005,w,schwarz/grau
51-60,w,Bolonka Zwetna,,2010,w,schwarz/weiss
51-60,w,West Highland White Terrier,,2006,m,weiss
51-60,w,Bolonka Zwetna,,2008,m,schwarz/weiss
61-70,m,Mischling klein,,2006,m,tricolor
61-70,w,Parson Jack Russell Terrier,,2005,w,tricolor
51-60,w,Chihuahua,,2007,m,weiss/braun
51-60,w,Malteser,Mischling,2005,m,weiss
51-60,m,Podenco,Mischling,2005,m,rot/braun
51-60,w,Zwergpudel,,2006,m,apricot
41-50,m,Jack Russel Terrier,,2005,m,weiss/schwarz
41-50,w,Deutscher Schäfer,Mischling,2004,w,schwarz/grau
71-80,m,Collie,Mischling,2002,w,rot/braun/weiss
31-40,w,Mischling klein,,2015,w,weiss/braun/schwarz
61-70,m,Jack Russel Terrier,,2005,m,schwarz/braun
41-50,w,Beagle,,2011,m,tricolor
51-60,w,Labrador Retriever,,2010,m,braun
61-70,m,Labrador Retriever,,2005,m,schwarz
71-80,m,Shih Tzu,,2005,m,schwarz/weiss
61-70,w,Mischling klein,,2006,m,schwarz/braun
61-70,w,Toypudel,,2003,w,weiss
51-60,w,Dackel,Mischling,2005,w,schwarz/braun
51-60,w,West Highland White Terrier,,2005,w,weiss
71-80,w,Mischling klein,,2006,w,tricolor
51-60,m,Schäfer,Mischling,2005,w,schwarz/beige
51-60,w,Goldendoodle,,2014,w,creme
41-50,w,Pudel,,2005,m,weiss/braun
41-50,w,Husky,Mischling,2004,m,blondfarben
31-40,w,Beauceron,,2005,m,schwarz/rot
51-60,m,Zwergpinscher,,2016,w,schwarz/rot
81-90,w,Belgischer Schäfer,Mischling,2005,w,hellbraun
31-40,w,Schnauzer,,2005,w,schwarz
61-70,w,Tibet Terrier,,2009,w,tricolor
51-60,w,Eurasier,,2006,w,grau
41-50,m,Schweizer Niederlaufhund,,2008,m,weiss/braun
61-70,w,Collie,Mischling,2000,m,weiss/braun
51-60,m,Schäfer,Mischling,2008,w,braun/schwarz
51-60,m,Mischling klein,,2007,w,schwarz/braun
51-60,m,Jack Russel Terrier,,2011,m,tricolor
31-40,w,Jack Russel Terrier,,2004,m,tricolor
31-40,w,Jack Russel Terrier,,2008,w,tricolor
41-50,w,Jack Russel Terrier,,2006,w,tricolor
51-60,w,Deutscher Schäfer,,2005,m,schwarz/braun
51-60,w,Schapendoes,,2005,m,schwarz/grau
51-60,w,Mops,,2005,m,schwarz
41-50,m,Mischling klein,,2006,w,beige
51-60,m,Yorkshire Terrier,Mischling,2003,w,schwarz/braun/grau
71-80,m,Deutscher Schäfer,,2006,w,schwarz/gelb
61-70,w,Mops,,2010,m,beige
51-60,m,Zwergpinscher,,2012,m,schwarz/weiss
51-60,m,Jack Russel Terrier,,2003,w,weiss/schwarz/braun
41-50,m,Podenco,,2003,m,weiss/braun
51-60,w,Podenco,Mischling,2005,w,schwarz/braun
41-50,w,Schäfer,,2000,w,hellbraun
51-60,w,Galgo Español,Mischling,2003,w,blondfarben
51-60,m,Mops,,2006,m,braun
51-60,w,Flat Coated Retriever,,2006,m,schwarz
41-50,w,Jack Russel Terrier,,2004,w,tricolor
51-60,m,Mischling gross,,2015,m,gestromt
61-70,w,Mischling klein,,2007,w,weiss/schwarz
71-80,m,Chihuahua,,2004,m,braun
71-80,w,Münsterländer,,2006,m,braun/weiss
61-70,w,Labrador Retriever,,2004,m,golden
71-80,m,Mischling klein,,2005,w,hellbraun
51-60,m,Parson Jack Russell Terrier,,2005,m,rot/weiss
