ALTER,GESCHLECHT,RASSE1,RASSE1_MISCHLING,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
51-60,m,Labrador Retriever,,2006,m,braun
51-60,m,Deutscher Schäfer,,2008,w,schwarz/braun/weiss
61-70,m,Mischling klein,,2006,w,tricolor
41-50,m,Magyar Viszla,,2010,m,gelb
61-70,m,Labrador Retriever,,2007,w,braun
61-70,m,Labrador Retriever,,2011,w,braun
61-70,w,Zwergpudel,,2008,w,apricot
51-60,w,Mischling gross,,2012,m,braun/beige
51-60,w,Havaneser,,2015,m,braun/rot
41-50,m,Coton de Tulear,,2010,m,weiss
51-60,m,Hovawart,,2004,w,blondfarben
51-60,m,Hovawart,,2012,w,schwarz
51-60,w,Mops,,2013,m,beige
71-80,w,Labrador Retriever,,2012,m,beige
51-60,m,Golden Retriever,,2001,m,golden
31-40,m,Jack Russel Terrier,,2010,w,tricolor
51-60,w,English Cocker Spaniel,,2004,w,blauschimmel
61-70,m,Mischling klein,,2010,m,braun
31-40,w,Beagle,,2017,w,tricolor
41-50,w,Shih Tzu,,2012,w,braun/weiss
31-40,m,Labrador Retriever,,2009,m,braun
41-50,w,Mischling gross,,2016,m,schwarz/weiss
41-50,w,Mischling gross,,2012,w,weiss
51-60,m,Hirtenhund,,2006,m,weiss/grau
51-60,w,Pinscher,Mischling,2009,m,hellbraun
51-60,w,Mischling klein,,2010,w,weiss/beige
51-60,w,Mischling klein,,2003,w,schwarz
31-40,m,Mops,,2014,w,braun
71-80,m,Soft Coated Wheaten Terrier,,2012,m,beige
61-70,w,Lagotto Romagnolo,,2012,w,bianco-aranico
51-60,w,Chihuahua,,2010,m,black/tan
51-60,w,Prager Rattler,,2010,w,black/tan
51-60,w,Zwergpinscher,,2003,w,black/tan
51-60,w,Canaan Dog,,2008,m,schwarz
61-70,m,Mischling klein,,2009,m,schwarz schimmel
61-70,m,Deutscher Schäfer,,2012,w,braun
41-50,m,Bouvier,,2012,m,gestromt
41-50,m,Jack Russel Terrier,,2010,m,tricolor
41-50,w,Border Collie,,2012,w,tricolor
71-80,w,Mischling klein,,2002,m,grau
41-50,m,Border Collie,,2015,m,schwarz/weiss
61-70,m,Labrador Retriever,,2007,m,choco
41-50,m,Prager Rattler,,2013,m,hellbraun
41-50,m,Prager Rattler,,2013,m,braun
71-80,m,Labrador Retriever,,2006,m,blondfarben
41-50,w,Papillon,Mischling,2001,w,schwarz
41-50,w,Malteser,Mischling,2004,m,weiss
41-50,w,Yorkshire Terrier,,2009,m,tricolor
41-50,w,Jura Laufhund,Mischling,2003,m,schwarz/braun/weiss
61-70,m,Spanischer Wasserhund,,2004,w,braun/weiss
61-70,m,Labrador Retriever,,2006,w,schwarz
41-50,w,Labrador Retriever,,2011,w,schwarz
71-80,m,Border Collie,,2010,m,tricolor
41-50,w,Border Collie,,2015,w,tricolor
81-90,m,Labrador Retriever,,2006,w,schwarz
71-80,w,Französische Bulldogge,,2007,w,weiss
51-60,m,Bayerischer Gebirgsschweisshund,,2011,m,hirschrot mit Maske
51-60,w,Malteser,,2004,m,weiss
61-70,m,Jack Russel Terrier,,2006,m,schwarz/weiss
71-80,m,Pinscher,,2002,m,rot
61-70,w,Labrador Retriever,,2009,m,schwarz
41-50,w,American Bulldog,,2005,w,weiss
81-90,w,Yorkshire Terrier,,2007,w,schwarz/braun
