SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination_yrs,WhereBittenIDDesc,ResultsIDDesc,Year,Month,Day
CAT,,FEMALE,BLK-WHT,1,BODY,UNKNOWN,2010,1,16
DOG,,MALE,TRI,3,BODY,UNKNOWN,2010,1,16
DOG,,MALE,BLUE,1,BODY,UNKNOWN,2010,1,16
CAT,,MALE,BROWN,1,BODY,UNKNOWN,2010,1,17
DOG,,MALE,BLK,3,BODY,UNKNOWN,2010,1,19
DOG,,MALE,BLK,1,BODY,UNKNOWN,2010,1,20
DOG,,FEMALE,BRN,1,HEAD,UNKNOWN,2010,1,21
CAT,,MALE,BLK-WHT,,BODY,UNKNOWN,2010,1,22
DOG,,UNKNOWN,YELLOW,,BODY,UNKNOWN,2010,1,23
DOG,,MALE,RED,3,HEAD,UNKNOWN,2010,1,24
CAT,,FEMALE,GRAY-TORTI,,HEAD,UNKNOWN,2010,1,25
DOG,,FEMALE,FAWN-WHT,1,BODY,UNKNOWN,2010,1,25
DOG,,FEMALE,BRN-WHT,,BODY,UNKNOWN,2010,1,25
DOG,,MALE,BROWN-BLK,,BODY,UNKNOWN,2010,1,26
DOG,,MALE,BLACK,1,BODY,UNKNOWN,2010,1,27
CAT,,UNKNOWN,,,BODY,UNKNOWN,2010,1,27
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,1,27
DOG,,UNKNOWN,YELLOW,1,BODY,UNKNOWN,2010,1,27
DOG,,FEMALE,BRN-BLACK,1,BODY,UNKNOWN,2010,1,27
DOG,,FEMALE,TAN,1,HEAD,UNKNOWN,2010,1,28
DOG,,FEMALE,BLK-TAN,1,BODY,UNKNOWN,2010,1,28
DOG,,MALE,BLK-WHT,,HEAD,UNKNOWN,2010,1,29
DOG,,FEMALE,TAN,1,BODY,UNKNOWN,2010,1,29
DOG,,UNKNOWN,,,HEAD,UNKNOWN,2010,1,30
CAT,,FEMALE,BLK,1,BODY,UNKNOWN,2010,1,30
DOG,,MALE,RED-WHT,1,BODY,UNKNOWN,2010,1,30
DOG,,MALE,BLK-TAN,,BODY,UNKNOWN,2010,1,30
CAT,,MALE,TAN-BRN,1,HEAD,UNKNOWN,2010,1,31
DOG,,MALE,B.MERLE-GR,,HEAD,UNKNOWN,2010,1,31
DOG,,MALE,BLK-WHT,1,BODY,UNKNOWN,2010,1,31
DOG,,MALE,BROWN,1,BODY,UNKNOWN,2010,2,1
CAT,,MALE,GRAY-WHT,,BODY,UNKNOWN,2010,2,1
DOG,,MALE,TAN-WHT,,BODY,UNKNOWN,2010,2,1
DOG,,MALE,BLONDE,1,HEAD,UNKNOWN,2010,2,2
CAT,,UNKNOWN,GRAY-WHITE,,BODY,UNKNOWN,2010,2,2
DOG,,MALE,BROWN-BLK,1,BODY,UNKNOWN,2010,2,3
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,2,4
DOG,,UNKNOWN,BRN-WHT,,BODY,UNKNOWN,2010,2,4
DOG,,MALE,WHT,,BODY,UNKNOWN,2010,2,5
DOG,,MALE,BROWN,,HEAD,UNKNOWN,2010,2,5
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,2,5
DOG,,MALE,BLK-BRN,,BODY,UNKNOWN,2010,2,6
DOG,,FEMALE,WHT-BRN,3,HEAD,UNKNOWN,2010,2,7
DOG,,MALE,TRI,3,BODY,UNKNOWN,2010,2,7
CAT,,UNKNOWN,BLK-WHT,,BODY,UNKNOWN,2010,2,9
CAT,,UNKNOWN,GREY,1,BODY,UNKNOWN,2010,2,9
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,2,10
DOG,,MALE,GRAY,1,BODY,UNKNOWN,2010,2,10
DOG,,FEMALE,BLK,1,BODY,UNKNOWN,2010,2,10
DOG,,MALE,BLK-WHT,1,BODY,UNKNOWN,2010,2,10
CAT,,FEMALE,BLK-WHT,1,BODY,UNKNOWN,2010,2,10
DOG,,FEMALE,SILVER,1,BODY,UNKNOWN,2010,2,11
DOG,,UNKNOWN,,,HEAD,UNKNOWN,2010,2,11
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,2,11
DOG,,MALE,BRN-WHT,1,BODY,UNKNOWN,2010,2,12
CAT,,UNKNOWN,GREY,,BODY,UNKNOWN,2010,2,12
DOG,,MALE,BLK,1,BODY,UNKNOWN,2010,2,12
CAT,,UNKNOWN,GREY,1,BODY,UNKNOWN,2010,2,13
DOG,,UNKNOWN,BRN,1,BODY,UNKNOWN,2010,2,14
DOG,,UNKNOWN,BLK,,HEAD,UNKNOWN,2010,2,15
DOG,,UNKNOWN,BRN,,BODY,UNKNOWN,2010,2,16
CAT,,FEMALE,BLK,,BODY,UNKNOWN,2010,2,16
DOG,,FEMALE,GRAY,1,BODY,UNKNOWN,2010,2,16
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,2,18
CAT,,MALE,ORANGE,1,BODY,UNKNOWN,2010,2,18
DOG,,MALE,TRI,1,BODY,UNKNOWN,2010,2,18
